comparison_group,technology,country,avg_interest,analysis_date
Python programming vs JavaScript programming vs Java programming,Python programming,FR,43.08,2025-07-01
Python programming vs JavaScript programming vs Java programming,JavaScript programming,FR,1.4,2025-07-01
Python programming vs JavaScript programming vs Java programming,Java programming,FR,5.26,2025-07-01
Python programming vs JavaScript programming vs Java programming,Python programming,DE,68.77,2025-07-01
Python programming vs JavaScript programming vs Java programming,JavaScript programming,DE,2.13,2025-07-01
Python programming vs JavaScript programming vs Java programming,Java programming,DE,30.96,2025-07-01
Python programming vs JavaScript programming vs Java programming,Python programming,NL,47.21,2025-07-01
Python programming vs JavaScript programming vs Java programming,JavaScript programming,NL,0.23,2025-07-01
Python programming vs JavaScript programming vs Java programming,Java programming,NL,4.96,2025-07-01
Python programming vs JavaScript programming vs Java programming,Python programming,GB,68.38,2025-07-01
Python programming vs JavaScript programming vs Java programming,JavaScript programming,GB,2.94,2025-07-01
Python programming vs JavaScript programming vs Java programming,Java programming,GB,17.91,2025-07-01
Python programming vs JavaScript programming vs Java programming,Python programming,IT,30.85,2025-07-01
Python programming vs JavaScript programming vs Java programming,JavaScript programming,IT,1.4,2025-07-01
Python programming vs JavaScript programming vs Java programming,Java programming,IT,1.49,2025-07-01
React framework vs Angular framework vs Vue.js framework,React framework,FR,26.57,2025-07-01
React framework vs Angular framework vs Vue.js framework,Angular framework,FR,4.15,2025-07-01
React framework vs Angular framework vs Vue.js framework,Vue.js framework,FR,1.55,2025-07-01
React framework vs Angular framework vs Vue.js framework,React framework,DE,28.47,2025-07-01
React framework vs Angular framework vs Vue.js framework,Angular framework,DE,3.68,2025-07-01
React framework vs Angular framework vs Vue.js framework,Vue.js framework,DE,1.42,2025-07-01
React framework vs Angular framework vs Vue.js framework,React framework,NL,0.85,2025-07-01
React framework vs Angular framework vs Vue.js framework,Angular framework,NL,0.28,2025-07-01
React framework vs Angular framework vs Vue.js framework,Vue.js framework,NL,1.89,2025-07-01
React framework vs Angular framework vs Vue.js framework,React framework,GB,39.26,2025-07-01
React framework vs Angular framework vs Vue.js framework,Angular framework,GB,1.32,2025-07-01
React framework vs Angular framework vs Vue.js framework,Vue.js framework,GB,0.0,2025-07-01
React framework vs Angular framework vs Vue.js framework,React framework,IT,2.96,2025-07-01
React framework vs Angular framework vs Vue.js framework,Angular framework,IT,0.47,2025-07-01
React framework vs Angular framework vs Vue.js framework,Vue.js framework,IT,0.0,2025-07-01
Docker container vs Kubernetes,Docker container,FR,29.64,2025-07-01
Docker container vs Kubernetes,Kubernetes,FR,83.26,2025-07-01
Docker container vs Kubernetes,Docker container,DE,53.11,2025-07-01
Docker container vs Kubernetes,Kubernetes,DE,86.72,2025-07-01
Docker container vs Kubernetes,Docker container,NL,40.17,2025-07-01
Docker container vs Kubernetes,Kubernetes,NL,82.36,2025-07-01
Docker container vs Kubernetes,Docker container,GB,39.17,2025-07-01
Docker container vs Kubernetes,Kubernetes,GB,82.87,2025-07-01
Docker container vs Kubernetes,Docker container,IT,41.83,2025-07-01
Docker container vs Kubernetes,Kubernetes,IT,77.23,2025-07-01
