language,trending_repos_count,total_stars,total_forks,avg_stars_per_repo,european_repos,european_countries,analysis_date
JavaScript,30,27446,6243,914.87,3,"DE:2, GB:1",2025-06-30
Python,30,86825,10806,2894.17,1,FR:1,2025-06-30
Java,30,3809,522,126.97,1,GB:1,2025-06-30
TypeScript,30,68847,7802,2294.9,2,"FR:1, DE:1",2025-06-30
C#,30,3068,200,102.27,1,NL:1,2025-06-30
PHP,30,3966,307,132.2,4,"DE:2, NL:1, FR:1",2025-06-30
C++,30,10008,1017,333.6,1,IT:1,2025-06-30
Ruby,30,1542,91,51.4,2,GB:2,2025-06-30
Go,30,26059,1268,868.63,2,"DE:1, NL:1",2025-06-30
Rust,30,13674,965,455.8,2,FR:2,2025-06-30
Kotlin,30,4388,292,146.27,2,"NL:1, DE:1",2025-06-30
Swift,30,31854,1066,1061.8,6,"GB:2, FR:2, DE:1, IT:1",2025-06-30
Scala,9,200,11,22.22,0,,2025-06-30
R,30,615,159,20.5,0,,2025-06-30
Dart,30,1601,196,53.37,1,DE:1,2025-06-30
